student_id,institution,country_home,country_host,gender,age,language_proficiency,gpa_prev,attendance_rate,socio_econ_status,marital_status,teaching_style_difference,dropout,cultural_distance,support_program,target_success,weekly_engagement,subject_field,timestamp_created
LA000001,Daugavpils University,USA,Latvia,Male,24,B2,86.7,0.88,High,Married,0.18,0,0.3,Tutoring,1,0.57|0.84|0.64|0.35|0.84|0.66|0.69|0.66|0.85|0.68|0.66|0.54|0.60|0.80|0.71|0.84|0.70|0.73|0.58|0.79|0.85|0.70|0.64|0.71|0.58|0.61|0.48|0.66|0.88|0.60|0.77|0.95,Economics,2025-11-02T11:58:25Z
LA000002,TSI Riga,Vietnam,Latvia,Prefer not to say,24,C1,70.5,0.88,High,Married,0.46,0,0.6,Tutoring,0,0.87|0.53|0.74|0.90|0.86|0.78|0.96|0.71|0.86|0.83|0.62|0.77|0.43|0.90|0.78|0.80|0.80|0.68|0.56|0.70|0.82|0.74|0.85|0.58|0.77|0.71|0.87|0.85|0.69|0.73|0.85|0.64,Psychology,2025-11-02T11:58:25Z
LA000003,TSI Riga,Latvia,Latvia,Other,21,C1,62.3,0.88,Low,Married,0.18,0,0.1,None,1,0.70|0.78|0.65|0.73|0.81|0.73|0.82|0.74|1.00|0.72|0.63|0.84|0.67|0.87|0.81|0.76|0.65|0.65|0.57|0.73|1.00|0.71|0.92|0.70|0.49|0.83|0.82|0.64|0.59|0.68|0.73|0.69,Psychology,2025-11-02T11:58:25Z
LA000004,TSI Riga,Italy,Latvia,Male,25,B1,73.1,0.94,Medium,Other,0.16,0,0.1,LanguageMentor,1,0.54|0.84|0.62|0.88|0.74|0.70|0.79|0.71|0.80|0.66|0.75|0.75|0.61|0.83|0.91|0.78|0.88|0.51|0.79|0.78|0.81|0.71|0.98|0.86|0.51|0.66|0.92|0.62|0.83|0.79|0.75|0.86,Logistics,2025-11-02T11:58:25Z
LA000005,Daugavpils University,Italy,Latvia,Other,24,C1,74.4,0.79,High,Married,0.28,0,0.1,LanguageMentor,1,0.57|0.80|0.64|0.63|0.74|1.00|0.70|0.62|0.74|0.57|0.71|0.71|0.74|0.72|0.79|0.69|0.56|0.72|0.72|0.60|0.68|0.36|0.57|0.61|0.81|0.75|0.47|0.60|0.60|0.61|0.86|0.83,English Philology,2025-11-02T11:58:25Z
LA000006,Daugavpils University,Sri Lanka,Latvia,Female,24,B2,52.9,0.95,Low,Married,0.14,0,0.6,None,1,0.72|0.72|0.70|0.78|0.59|0.87|0.89|0.81|0.52|0.67|0.81|0.60|0.81|0.92|0.63|0.83|0.70|0.58|0.59|0.65|0.77|0.44|0.72|0.90|0.76|1.00|0.59|0.78|0.98|0.82|0.80|0.66,Data Science,2025-11-02T11:58:25Z
LA000007,TSI Riga,Nigeria,Latvia,Other,23,C1,68.6,0.94,Medium,Single,0.39,0,0.7,None,1,0.68|0.65|0.54|0.48|0.69|0.86|0.76|0.77|0.78|0.64|0.82|0.53|0.67|0.64|0.71|0.70|0.67|0.75|0.83|0.66|0.57|0.79|1.00|0.87|0.81|0.66|0.75|0.65|0.83|0.74|0.63|0.80,Engineering,2025-11-02T11:58:25Z
LA000008,TSI Riga,Slovakia,Latvia,Prefer not to say,27,C2,66.8,0.83,Medium,Other,0.1,1,0.1,LanguageMentor,0,0.82|0.90|0.76|0.67|0.84|0.78|0.74|0.65|0.73|0.60|0.43|0.76|0.64|0.60|0.55|0.84|0.74|0.95|0.73|0.40|0.82|0.80|0.57|0.58|0.73|0.71|0.71|0.78|1.00|0.52|0.73|0.56,Business,2025-11-02T11:58:25Z
LA000009,Daugavpils University,India,Latvia,Male,20,C2,74.7,0.99,Low,Single,0.22,0,0.6,BuddyProgram,1,0.70|0.65|0.91|0.87|0.70|0.62|0.54|0.70|0.70|0.87|0.63|0.52|0.84|0.81|0.76|0.78|0.63|0.74|0.52|0.78|0.65|0.81|0.75|0.80|0.92|0.74|0.86|0.66|0.49|0.67|0.81|0.73,Data Science,2025-11-02T11:58:25Z
LA000010,Daugavpils University,Spain,Latvia,Prefer not to say,21,C1,72,0.83,Medium,Married,0.05,0,0.1,LanguageMentor,1,0.68|0.86|0.68|0.79|0.80|0.68|0.65|0.51|1.00|0.70|0.94|0.72|0.68|0.60|1.00|0.79|0.61|0.64|0.50|0.91|0.56|0.80|1.00|0.84|0.68|0.69|0.71|0.54|0.80|0.79|0.85|0.94,Economics,2025-11-02T11:58:25Z
