student_id,institution,country_home,country_host,gender,age,language_proficiency,gpa_prev,attendance_rate,socio_econ_status,marital_status,teaching_style_difference,dropout,cultural_distance,support_program,target_success,weekly_engagement,subject_field,timestamp_created
IT000001,University of Messina,Latvia,Italy,Male,25,C2,48.9,0.83,Low,Other,0.11,0,0.1,Tutoring,1,0.74|0.52|0.62|0.96|0.82|0.97|0.76|0.44|0.76|0.65|0.97|0.64|0.76|0.65|0.54|0.95|0.74|0.77|0.94|0.95|0.67|0.81|0.65|0.78|0.82|0.75|0.87|0.66|0.63|0.69|0.66|0.73,Economics,2025-11-02T11:58:25Z
IT000002,Politecnico di Torino,Pakistan,Italy,Female,24,A2,64.1,0.95,Medium,Other,0.2,1,0.6,None,0,0.59|0.81|0.65|0.71|0.72|0.68|0.95|0.78|0.73|0.86|0.79|0.72|0.83|0.85|0.71|0.92|0.57|0.69|0.70|0.62|0.62|0.48|0.64|0.63|0.63|0.75|0.74|0.63|0.71|0.78|0.54|0.62,Business,2025-11-02T11:58:25Z
IT000003,Politecnico di Torino,USA,Italy,Other,23,C2,63.4,0.94,High,Married,0.65,0,0.3,None,1,0.73|0.52|0.69|0.72|0.76|0.48|0.69|0.68|0.68|0.88|0.59|0.88|0.87|0.61|0.54|0.75|0.76|0.64|0.44|0.66|0.40|0.65|0.46|0.70|0.56|0.81|0.75|0.74|0.64|0.65|0.81|0.58,Business,2025-11-02T11:58:25Z
IT000004,University of Messina,Brazil,Italy,Female,23,B2,61.2,0.97,Low,Single,0.48,1,0.5,Tutoring,0,0.67|0.57|0.73|0.75|0.73|0.66|0.59|0.72|0.73|0.89|0.80|0.59|0.99|0.54|0.64|0.64|0.67|0.82|0.67|0.75|0.66|0.60|0.75|0.70|0.91|0.60|0.73|0.87|0.70|0.69|0.75|0.54,Computer Science,2025-11-02T11:58:25Z
IT000005,University of Messina,Ukraine,Italy,Other,23,B2,61.2,0.99,High,Single,0.5,1,0.1,LanguageMentor,0,0.72|0.76|0.83|0.74|0.65|0.74|0.87|0.60|0.73|0.98|0.99|0.99|0.79|0.82|0.61|0.72|0.54|0.78|0.89|0.70|0.85|0.78|0.68|0.80|0.67|0.69|0.69|0.80|0.46|0.70|0.86|0.51,Business,2025-11-02T11:58:25Z
IT000006,Politecnico di Torino,Brazil,Italy,Prefer not to say,24,C2,71,0.72,Medium,Single,0.15,0,0.5,LanguageMentor,1,0.88|1.00|0.50|0.65|0.58|0.82|0.68|0.98|0.76|0.58|0.64|0.51|0.80|0.75|0.66|0.69|0.70|0.53|1.00|0.77|0.81|0.70|0.73|0.89|0.38|0.70|0.76|0.59|0.72|0.51|0.94|0.54,Economics,2025-11-02T11:58:25Z
IT000007,University of Messina,Brazil,Italy,Female,31,B2,73.3,0.88,Low,Other,0.35,1,0.5,None,0,0.60|0.82|0.66|0.57|0.62|0.73|0.56|0.61|0.52|0.97|0.89|0.67|0.59|0.82|0.59|0.86|0.62|0.83|0.89|0.88|0.78|0.94|0.82|0.68|0.87|0.82|0.77|0.56|0.69|0.58|0.60|0.78,Psychology,2025-11-02T11:58:25Z
IT000008,University of Messina,Italy,Italy,Male,20,C2,68.9,0.82,Medium,Married,0.59,0,0.1,None,0,0.75|0.61|0.77|0.46|0.85|1.00|0.34|0.65|0.45|0.83|0.88|0.66|0.72|0.76|0.82|0.74|0.77|0.72|0.60|0.87|0.57|0.90|0.77|0.61|0.87|0.65|0.70|0.38|0.82|0.73|0.63|0.87,Business,2025-11-02T11:58:25Z
IT000009,University of Messina,Sri Lanka,Italy,Female,24,B1,79.4,0.93,Low,Single,0.12,0,0.6,Tutoring,1,0.91|0.81|1.00|0.96|0.87|0.70|0.65|0.59|0.73|0.75|0.76|0.48|0.71|0.63|0.59|0.71|0.72|0.68|0.59|0.67|0.67|0.84|0.80|0.61|0.54|0.75|0.71|0.56|0.65|0.86|0.56|0.71,Computer Science,2025-11-02T11:58:25Z
IT000010,University of Messina,Pakistan,Italy,Female,28,B2,71.6,0.85,Medium,Other,0.13,0,0.6,BuddyProgram,1,0.94|0.62|0.84|0.72|1.00|0.72|0.50|0.74|0.76|0.74|0.57|0.74|0.69|1.00|0.66|0.66|0.67|0.86|0.62|0.84|0.86|0.64|0.93|0.66|0.61|0.68|0.71|0.81|0.66|0.62|0.69|0.80,English Philology,2025-11-02T11:58:25Z
