student_id,institution,country_home,country_host,gender,age,language_proficiency,gpa_prev,attendance_rate,socio_econ_status,marital_status,teaching_style_difference,dropout,cultural_distance,support_program,target_success,completion_status,weekly_engagement,subject_field,timestamp_created
SL000001,Slovak Tech,Sri Lanka,Slovakia,Male,25,B1,76.4,0.8,Medium,Married,0.1,0,0.6,BuddyProgram,0,Failed Exams,0.69|0.81|0.84|0.56|0.74|0.93|0.61|0.53|0.60|0.66|0.79|0.62|0.76|0.44|0.72|0.72|0.78|0.77|0.86|0.82|0.60|0.72|0.64|0.78|0.98|1.00|0.65|0.70|0.64|0.79|0.88|0.70,English Philology,2025-11-02T11:58:25Z
SL000002,Comenius University Bratislava,Sri Lanka,Slovakia,Female,23,B2,60.2,0.83,Medium,Other,0.14,0,0.6,None,1,Completed,0.70|0.76|0.55|0.61|0.57|0.84|0.70|0.65|0.63|0.62|0.70|0.64|0.72|0.83|0.84|0.54|0.69|0.97|0.66|0.73|0.68|0.89|0.84|0.63|0.81|0.70|0.87|0.74|0.72|0.86|0.86|0.35,Logistics,2025-11-02T11:58:25Z
SL000003,Comenius University Bratislava,Bangladesh,Slovakia,Male,20,A2,91.5,0.99,Medium,Other,0.09,1,0.6,LanguageMentor,0,Dropped Out,0.53|0.67|0.84|0.78|0.73|0.75|0.84|0.89|0.57|0.74|0.71|0.56|0.85|0.93|1.00|0.48|0.74|0.90|0.80|0.61|0.96|0.63|0.58|0.64|0.62|0.64|0.81|0.80|0.69|0.77|0.70|0.70,Psychology,2025-11-02T11:58:25Z
SL000004,Slovak Tech,Nigeria,Slovakia,Other,23,B1,74.1,0.84,Low,Married,0.1,1,0.7,Tutoring,0,Dropped Out,0.79|0.89|0.74|1.00|0.81|0.55|0.63|0.69|0.51|0.87|0.83|0.73|0.58|0.85|0.73|0.64|0.79|0.88|0.85|0.61|0.79|0.54|0.73|0.43|0.82|0.70|0.83|0.66|0.71|0.65|0.50|0.72,Engineering,2025-11-02T11:58:25Z
SL000005,Slovak Tech,Sri Lanka,Slovakia,Female,20,C2,55.2,0.89,High,Other,0.06,0,0.6,None,1,Completed,0.86|0.65|0.54|0.80|0.67|0.80|1.00|0.62|0.72|0.61|0.73|0.65|0.68|0.69|1.00|0.92|0.76|0.62|0.99|0.88|0.78|0.76|0.81|0.58|0.70|0.73|0.84|0.39|0.85|0.51|0.78|0.80,Logistics,2025-11-02T11:58:25Z
SL000006,Slovak Tech,Slovakia,Slovakia,Male,21,B1,82.2,0.79,Low,Other,0.21,1,0.1,Counseling,0,Left Country,0.71|0.70|0.82|0.67|0.87|0.76|0.85|0.72|0.81|0.77|0.79|0.84|0.84|0.70|0.60|0.61|0.47|0.91|0.62|0.70|0.94|0.59|0.73|0.59|0.86|0.87|0.53|0.54|0.66|0.70|0.69|0.48,Computer Science,2025-11-02T11:58:25Z
SL000007,Slovak Tech,USA,Slovakia,Male,26,B1,67.8,0.83,Low,Other,0.35,0,0.3,LanguageMentor,1,Completed,0.81|0.71|0.79|0.67|0.45|0.95|0.53|0.74|0.79|0.55|0.66|0.53|0.66|0.78|0.95|0.69|0.84|0.78|0.90|0.66|0.80|0.84|0.65|0.84|0.89|0.68|0.74|0.79|0.70|0.51|0.71|0.63,Computer Science,2025-11-02T11:58:25Z
SL000008,Comenius University Bratislava,India,Slovakia,Prefer not to say,25,C1,73.9,0.75,Low,Other,0.41,0,0.6,BuddyProgram,1,Completed,0.63|0.79|0.99|0.58|0.85|0.54|0.72|0.81|0.89|0.66|0.74|1.00|0.70|0.82|0.61|0.52|0.71|0.87|0.71|0.67|0.58|0.75|0.95|0.88|0.64|0.81|0.67|0.89|0.73|0.61|0.87|0.86,Computer Science,2025-11-02T11:58:25Z
SL000009,Comenius University Bratislava,Italy,Slovakia,Prefer not to say,22,A2,79.7,0.86,Medium,Married,0.45,0,0.1,BuddyProgram,1,Completed,0.65|0.71|0.66|0.94|0.61|0.73|0.73|0.74|1.00|0.64|0.72|0.98|0.78|0.62|0.59|0.47|0.90|0.78|0.58|0.75|0.86|0.55|0.91|0.80|0.78|0.92|0.72|0.69|0.49|0.87|0.65|0.78,Logistics,2025-11-02T11:58:25Z
SL000010,Comenius University Bratislava,Slovakia,Slovakia,Male,26,B1,67.0,0.94,High,Married,0.28,1,0.1,BuddyProgram,0,Dropped Out,0.85|0.75|0.69|0.93|0.60|0.61|0.57|0.86|0.47|0.85|0.80|0.93|0.74|0.84|0.90|0.51|0.95|0.54|0.65|0.75|0.97|0.62|0.76|0.76|0.73|0.79|0.63|0.58|0.59|0.59|0.94|0.76,Engineering,2025-11-02T11:58:25Z
