student_id,institution,country_home,country_host,gender,age,language_proficiency,gpa_prev,attendance_rate,socio_econ_status,marital_status,teaching_style_difference,dropout,cultural_distance,support_program,target_success,completion_status,subject_field,timestamp_created,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32
IT000239,Politecnico di Torino,Italy,Italy,Male,24,B1,63.6,0.8,Medium,Other,0.28,0,0.1,LanguageMentor,1,Completed,Computer Science,2025-11-02T11:58:25Z,0.74,0.43,0.61,0.78,0.68,0.78,0.46,0.83,0.66,0.79,0.82,0.84,0.81,0.76,0.42,0.94,0.82,0.75,0.53,0.67,0.86,0.77,0.34,0.81,0.69,0.71,0.75,0.74,0.63,0.75,0.9,0.6
IT000017,Politecnico di Torino,USA,Italy,Female,25,B1,52.7,0.94,Low,Single,0.13,1,0.3,Tutoring,0,Left Country,Psychology,2025-11-02T11:58:25Z,0.7,0.76,1.0,0.82,0.6,0.76,0.64,0.87,0.72,0.92,0.71,0.73,0.72,0.72,0.65,0.51,0.66,0.64,0.62,0.61,0.96,0.76,0.78,0.6,0.78,0.53,0.77,0.78,0.72,0.54,0.84,0.62
LA000598,TSI Riga,Nigeria,Latvia,Other,26,C2,83.9,1.0,High,Single,0.24,0,0.7,Tutoring,1,Completed,Engineering,2025-11-02T11:58:25Z,0.73,0.62,0.62,0.67,0.98,0.65,0.82,0.56,0.42,0.66,0.66,0.69,0.64,0.62,0.87,0.41,0.77,0.95,0.77,0.75,0.72,0.7,0.76,0.69,0.96,0.51,0.81,0.77,0.75,0.74,0.61,0.73
SL000333,Comenius University Bratislava,USA,Slovakia,Male,29,B2,71.7,0.91,Low,Married,0.44,0,0.3,LanguageMentor,1,Completed,Economics,2025-11-02T11:58:26Z,0.94,0.55,0.65,0.75,0.99,0.89,0.58,0.85,0.64,0.69,0.9,0.74,0.79,0.71,0.88,0.49,0.6,0.76,0.86,0.71,0.52,0.89,0.8,0.78,0.58,0.82,0.82,0.7,0.72,0.73,0.86,0.66
LA000449,Daugavpils University,Spain,Latvia,Prefer not to say,23,B2,59.3,0.98,Low,Married,0.43,0,0.1,Counseling,1,Completed,Business,2025-11-02T11:58:25Z,0.91,0.79,0.81,0.68,0.8,0.95,0.58,0.65,0.71,0.62,0.81,0.62,1.0,0.63,0.72,0.82,0.7,0.68,0.79,0.88,0.7,0.81,0.65,0.61,0.79,0.38,0.59,0.64,0.68,0.59,0.76,0.69
LA000463,Daugavpils University,Italy,Latvia,Male,23,C1,76.2,0.9,Medium,Other,0.05,0,0.1,Tutoring,1,Completed,Business,2025-11-02T11:58:25Z,0.9,0.61,0.58,0.63,0.92,0.58,0.7,0.88,0.86,1.0,0.81,0.61,0.87,0.75,0.63,0.66,0.81,0.73,0.7,0.73,0.83,0.97,0.72,0.66,0.58,0.64,0.72,0.6,0.58,0.8,0.8,0.91
LA000004,TSI Riga,Italy,Latvia,Male,25,B1,73.1,0.94,Medium,Other,0.16,0,0.1,LanguageMentor,1,Ongoing,Logistics,2025-11-02T11:58:25Z,0.54,0.84,0.62,0.88,0.74,0.7,0.79,0.71,0.8,0.66,0.75,0.75,0.61,0.83,0.91,0.78,0.88,0.51,0.79,0.78,0.81,0.71,0.98,0.86,0.51,0.66,0.92,0.62,0.83,0.79,0.75,0.86
IT000366,University of Messina,Bangladesh,Italy,Prefer not to say,29,C2,55.1,0.77,High,Married,0.01,0,0.6,Tutoring,1,Completed,Economics,2025-11-02T11:58:25Z,0.92,0.94,0.99,0.74,0.63,0.76,0.77,0.7,0.8,0.82,0.73,0.77,0.73,0.82,0.66,0.75,0.7,0.8,0.84,0.69,0.7,0.91,0.54,0.77,0.88,0.69,0.75,0.52,0.7,0.93,0.72,0.7
LA000235,TSI Riga,Italy,Latvia,Male,24,B1,73.7,0.96,Medium,Married,0.3,0,0.1,LanguageMentor,0,Failed Exams,Data Science,2025-11-02T11:58:25Z,0.46,0.93,0.88,0.82,0.97,0.64,0.76,0.69,0.73,0.84,0.67,0.72,0.89,0.51,0.6,0.68,0.56,0.66,0.85,0.65,0.87,0.58,0.73,0.67,0.9,0.82,0.74,0.72,0.75,0.66,0.91,0.72
SL000251,Comenius University Bratislava,Vietnam,Slovakia,Prefer not to say,25,C2,76.5,0.87,Low,Other,0.09,1,0.6,BuddyProgram,0,Dropped Out,Business,2025-11-02T11:58:26Z,0.85,0.66,0.62,0.71,0.86,0.78,0.61,0.74,0.77,0.66,0.65,0.72,0.98,0.65,0.7,0.61,0.75,0.47,0.8,0.7,0.71,0.72,0.69,0.84,0.85,0.56,0.86,0.79,0.67,0.82,0.64,0.68
